Countries,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979
Montenegro,,,,,,891,920,943,974,1026,970,967,999,896,881,,,,,,,,,,,,,,,,,,,,, 
Montserrat,4,9,9,8,1,5,9,8,1,7,7,12,7,11,5,7,8,10,11,9,12,11,17,22,14,,,,,,,,,,, 
Morocco,,,4837,4117,4840,4472,4344,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Netherlands,42984,42343,43381,42868,42363,41322,40750,39785,39494,39346,38824,38206,38087,37643,37746,38146,37372,37133,37220,36489,36478,36457,35951,35645,35173,35420,35422,35070,33966,33220,32815,32114,31811,31598,30669,30208
Netherlands Antilles,,,,,,,,,,,,,,,263,267,247,201,241,206,224,225,234,211,198,201,208,,,,,,,186,, 
New Zealand,,,8791,8786,8476,8342,8454,8417,7996,7864,8026,7932,7800,7810,7620,7674,7581,7282,7457,7416,7165,7095,6881,6792,6746,6631,6481,6410,6218,6167,5888,5937,5723,5588,5465,5366
Nicaragua,,2720,2567,2488,2379,2316,2213,2129,1907,1981,1951,1817,1742,1691,1570,1434,1444,1350,1329,,1171,1118,1102,1003,895,953,894,,,,,,,,, 
Norway,10841,10550,10800,10839,10925,10544,10632,10695,10440,10567,10489,10509,10633,10563,10447,10413,10340,10649,10643,10371,10334,10222,9789,9785,9852,9801,9973,9636,9593,,,,,,, 
Occupied Palestinian Territory,954,921,953,901,726,712,607,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Oman,,,,,324,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Panama,2962,2819,2928,2629,2524,2433,2514,2464,2305,2250,2179,2121,1906,1827,1847,1697,1659,1579,1563,,,,,,,1336,1239,1236,1161,1105,1065,1046,1070,1005,1000,906
Paraguay,3741,3720,3417,3502,3533,3338,3218,3103,3047,2969,2773,2676,2548,2544,2367,2276,2209,2179,2159,1920,1854,,,1379,1371,1196,1245,1132,1097,988,914,993,974,966,948,908
Peru,19404,18521,18465,18195,18403,18034,17749,16578,15817,17008,15543,13890,13078,12110,13557,12822,11851,11315,11609,10502,8135,,8216,5621,5804,7129,6803,6081,7467,,,5663,6102,5996,6207, 
Philippines,,,,50764,49822,47732,46262,44399,43043,,,39298,38821,37832,36414,34029,31571,29653,30037,28214,27915,25216,23762,,,,,,,,,,,,, 
Poland,95561,94116,94744,92198,92613,93297,93060,92932,91632,90396,89813,88300,87731,86431,84556,81595,,,78657,78094,76403,75690,73863,73958,72913,71508,71025,69390,68082,66981,66067,64047,61729,60836,59702, 
Portugal,26220,25920,25759,25593,24982,24397,24033,23431,,,,22711,22273,21960,21461,20934,20860,20474,20331,20007,19171,19310,18751,18230,18177,17478,17194,16781,16241,16074,15677,14803,14727,14315,14217, 
Puerto Rico,5390,5197,5423,5268,5174,5078,4994,4975,4806,4837,4818,4754,4664,4713,4702,4592,4702,4527,4563,4510,4298,4427,4393,4274,4106,3989,3751,3693,3791,3661,3592,3439,3297,3343,3285,3101
Qatar,250,221,217,186,207,192,172,162,155,159,132,,,93,,,,,,120,,,,,,,,,,,,,,,, 
Republic of Korea,,75334,73759,71579,72048,69779,68912,67561,65519,65117,64315,63352,62598,58857,57725,54090,50731,52187,50402,50107,49032,46531,43570,38351,38422,36595,34636,32327,31374,30272,,,,,, 
Republic of Moldova,5943,5829,5734,5634,5632,5658,5541,5387,5438,5184,5038,4938,4801,4655,4547,4583,4738,4716,5747,5785,6002,5894,5718,5803,5733,5706,5290,5086,4838,4487,,,4074,3995,, 
Reunion,,967,1050,957,968,946,961,872,887,926,851,840,765,731,,,,,,,,,,,,,,,,,,,,,, 
Rodrigues,31,26,39,25,20,31,41,31,30,24,32,,30,27,,,,,,,,,,,,,,,,,,,,,, 
Romania,50313,49445,48796,47977,47307,47084,46086,45001,45026,44572,43615,43279,42939,42466,40969,39357,39013,38894,38230,37220,36519,35770,34420,33144,32562,32295,32285,31236,31560,30722,29041,28897,28655,28332,29231, 
Russian Federation,,,,289535,290136,290737,286628,285921,283732,285402,287593,288219,290316,291540,295325,295665,293199,292848,291210,295651,300566,301288,296934,290488,284406,277481,271205,264062,257385,248272,244617,241035,234381,227924,223453, 
Saint Kitts and Nevis,,,62,61,56,58,59,67,75,44,57,46,53,24,47,36,60,78,91,43,45,40,39,39,47,53,55,48,27,,,,,,, 
